Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score,Study_Category,Attendance_Category,Score_Category,Study_Efficiency
Male,8.0,No,Urban,89.5,Secondary,73.3,Medium (5-10h),Good (75-90%),Good (70-85),8.144444444444444
Male,4.2,No,Rural,65.2,Secondary,40.3,Low (0-5h),Fair (60-75%),Fail (<50),7.749999999999999
Female,16.0,No,Urban,94.7,Primary,92.5,Very High (15h+),Excellent (90%+),Excellent (85+),5.4411764705882355
Male,4.7,No,Rural,89.7,Secondary,48.8,Low (0-5h),Good (75-90%),Fail (<50),8.56140350877193
Male,2.5,No,Urban,63.5,,41.9,Low (0-5h),Fair (60-75%),Fail (<50),11.971428571428572
Male,9.1,No,Rural,90.8,Secondary,60.7,Medium (5-10h),Excellent (90%+),Pass (50-70),6.009900990099011
Female,12.9,No,Urban,61.5,,69.6,High (10-15h),Fair (60-75%),Pass (50-70),5.007194244604316
Female,13.0,No,Urban,88.7,Primary,88.9,High (10-15h),Good (75-90%),Excellent (85+),6.3500000000000005
Male,15.9,No,Urban,61.3,Primary,90.0,Very High (15h+),Fair (60-75%),Excellent (85+),5.325443786982249
Female,9.8,Yes,Urban,59.3,Primary,79.1,Medium (5-10h),Poor (<60%),Good (70-85),7.324074074074073
Male,7.8,Yes,Urban,70.9,Tertiary,73.6,Medium (5-10h),Fair (60-75%),Good (70-85),8.363636363636362
Male,5.2,Yes,Urban,99.1,Primary,64.2,Medium (5-10h),Excellent (90%+),Pass (50-70),10.35483870967742
Male,14.4,Yes,Urban,63.7,,92.2,High (10-15h),Fair (60-75%),Excellent (85+),5.987012987012987
Male,10.7,No,Rural,68.1,,62.1,High (10-15h),Fair (60-75%),Pass (50-70),5.307692307692308
Male,10.4,No,Rural,51.7,Primary,60.4,High (10-15h),Poor (<60%),Pass (50-70),5.298245614035087
Female,12.4,No,Urban,78.0,Secondary,79.1,High (10-15h),Good (75-90%),Good (70-85),5.902985074626865
Male,3.7,No,Rural,86.8,Primary,39.3,Low (0-5h),Good (75-90%),Fail (<50),8.361702127659573
Female,0.5,Yes,Urban,50.6,Primary,41.1,Low (0-5h),Poor (<60%),Fail (<50),27.400000000000002
Male,10.9,No,Urban,62.1,Primary,70.2,High (10-15h),Fair (60-75%),Good (70-85),5.899159663865547
Female,11.7,No,Urban,62.2,Primary,66.2,High (10-15h),Fair (60-75%),Pass (50-70),5.212598425196851
Female,1.7,No,Urban,58.7,Secondary,27.0,Low (0-5h),Poor (<60%),Fail (<50),10.0
Female,10.3,Yes,Urban,53.2,Tertiary,77.3,High (10-15h),Poor (<60%),Good (70-85),6.840707964601769
Female,6.5,No,Rural,78.9,Tertiary,51.3,Medium (5-10h),Good (75-90%),Pass (50-70),6.84
Female,9.1,No,Rural,57.9,Primary,51.8,Medium (5-10h),Poor (<60%),Pass (50-70),5.128712871287129
Male,11.1,No,Rural,82.5,Tertiary,78.7,High (10-15h),Good (75-90%),Good (70-85),6.504132231404959
Female,9.5,No,Urban,72.5,Tertiary,64.9,Medium (5-10h),Fair (60-75%),Pass (50-70),6.180952380952381
Female,7.9,No,Rural,99.1,Tertiary,67.8,Medium (5-10h),Excellent (90%+),Pass (50-70),7.617977528089887
Female,7.4,No,Rural,95.3,Secondary,53.5,Medium (5-10h),Excellent (90%+),Pass (50-70),6.369047619047619
Female,6.4,No,Urban,77.2,Tertiary,61.7,Medium (5-10h),Good (75-90%),Pass (50-70),8.337837837837839
Male,12.8,Yes,Urban,51.9,Secondary,91.6,High (10-15h),Poor (<60%),Excellent (85+),6.637681159420289
Female,8.9,No,Urban,94.1,Primary,76.1,Medium (5-10h),Excellent (90%+),Good (70-85),7.686868686868686
Female,16.0,No,Urban,78.1,Secondary,95.4,Very High (15h+),Good (75-90%),Excellent (85+),5.611764705882353
Male,16.0,No,Urban,60.2,Tertiary,87.2,Very High (15h+),Fair (60-75%),Excellent (85+),5.129411764705883
Male,9.5,Yes,Urban,57.8,Tertiary,77.7,Medium (5-10h),Poor (<60%),Good (70-85),7.4
Female,11.5,Yes,Rural,77.1,Primary,87.6,High (10-15h),Good (75-90%),Excellent (85+),7.007999999999999
Male,15.6,No,Rural,78.0,Tertiary,87.2,Very High (15h+),Good (75-90%),Excellent (85+),5.253012048192771
Male,8.9,Yes,Rural,57.6,Tertiary,74.4,Medium (5-10h),Poor (<60%),Good (70-85),7.515151515151516
Male,7.9,Yes,Rural,72.5,Tertiary,75.6,Medium (5-10h),Fair (60-75%),Good (70-85),8.494382022471909
Male,10.6,No,Rural,63.9,Secondary,59.6,High (10-15h),Fair (60-75%),Pass (50-70),5.137931034482759
Female,10.3,No,Urban,51.1,Secondary,69.3,High (10-15h),Poor (<60%),Pass (50-70),6.1327433628318575
Female,14.0,No,Urban,85.1,Tertiary,87.8,High (10-15h),Good (75-90%),Excellent (85+),5.8533333333333335
Male,15.8,Yes,Rural,94.1,Tertiary,100.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.9523809523809526
Male,7.8,No,Urban,86.7,Tertiary,69.6,Medium (5-10h),Good (75-90%),Pass (50-70),7.909090909090907
Female,9.8,No,Urban,76.1,Primary,70.4,Medium (5-10h),Good (75-90%),Good (70-85),6.518518518518519
Male,6.2,No,Rural,69.3,Secondary,45.9,Medium (5-10h),Fair (60-75%),Fail (<50),6.375
Female,3.0,No,Rural,83.0,,35.0,Low (0-5h),Good (75-90%),Fail (<50),8.75
Female,12.2,Yes,Rural,56.8,Primary,81.4,High (10-15h),Poor (<60%),Good (70-85),6.166666666666668
Female,15.8,No,Urban,74.5,Primary,92.2,Very High (15h+),Fair (60-75%),Excellent (85+),5.488095238095238
Female,14.9,No,Rural,97.0,Secondary,98.1,High (10-15h),Excellent (90%+),Excellent (85+),6.169811320754716
Male,10.1,No,Urban,63.3,Tertiary,72.9,High (10-15h),Fair (60-75%),Good (70-85),6.567567567567568
Male,13.2,No,Urban,50.3,Primary,70.2,High (10-15h),Poor (<60%),Good (70-85),4.943661971830986
Male,10.6,No,Urban,59.8,Primary,63.4,High (10-15h),Poor (<60%),Pass (50-70),5.4655172413793105
Female,4.2,No,Rural,72.4,Tertiary,41.8,Low (0-5h),Fair (60-75%),Fail (<50),8.038461538461538
Male,13.2,Yes,Urban,75.7,Tertiary,98.5,High (10-15h),Good (75-90%),Excellent (85+),6.93661971830986
Female,8.2,Yes,Urban,86.1,Secondary,72.4,Medium (5-10h),Good (75-90%),Good (70-85),7.8695652173913055
Female,3.8,No,Urban,68.9,Primary,50.6,Low (0-5h),Fair (60-75%),Pass (50-70),10.541666666666668
Female,9.0,No,Urban,72.4,Primary,65.4,Medium (5-10h),Fair (60-75%),Pass (50-70),6.540000000000001
Male,13.4,Yes,Urban,80.5,Secondary,100.0,High (10-15h),Good (75-90%),Excellent (85+),6.944444444444445
Female,8.7,Yes,Urban,80.5,Tertiary,83.8,Medium (5-10h),Good (75-90%),Good (70-85),8.639175257731958
Male,6.2,No,Urban,93.6,Secondary,60.3,Medium (5-10h),Excellent (90%+),Pass (50-70),8.375
Male,8.6,No,Rural,95.2,Secondary,62.4,Medium (5-10h),Excellent (90%+),Pass (50-70),6.5
Female,10.6,No,Urban,88.2,Tertiary,73.9,High (10-15h),Good (75-90%),Good (70-85),6.370689655172415
Male,11.5,No,Urban,63.2,,63.3,High (10-15h),Fair (60-75%),Pass (50-70),5.064
Female,16.0,No,Urban,55.6,Secondary,96.6,Very High (15h+),Poor (<60%),Excellent (85+),5.68235294117647
Female,7.3,No,Rural,64.6,Secondary,59.8,Medium (5-10h),Fair (60-75%),Pass (50-70),7.204819277108433
Male,16.0,No,Rural,77.7,Secondary,88.6,Very High (15h+),Good (75-90%),Excellent (85+),5.211764705882352
Male,11.5,No,Urban,93.1,Primary,64.0,High (10-15h),Excellent (90%+),Pass (50-70),5.12
Female,5.5,No,Rural,60.5,Primary,55.1,Medium (5-10h),Fair (60-75%),Pass (50-70),8.476923076923077
Male,9.5,No,Rural,50.4,Secondary,53.9,Medium (5-10h),Poor (<60%),Pass (50-70),5.133333333333333
Female,12.3,Yes,Urban,82.5,Secondary,89.8,High (10-15h),Good (75-90%),Excellent (85+),6.75187969924812
Male,16.0,No,Rural,76.3,Secondary,84.9,Very High (15h+),Good (75-90%),Good (70-85),4.9941176470588236
Female,10.8,No,Urban,74.0,Secondary,61.2,High (10-15h),Fair (60-75%),Pass (50-70),5.186440677966101
Male,16.0,No,Rural,60.6,Tertiary,90.9,Very High (15h+),Fair (60-75%),Excellent (85+),5.347058823529412
Female,8.7,Yes,Urban,58.9,,76.1,Medium (5-10h),Poor (<60%),Good (70-85),7.845360824742268
Male,4.0,No,Rural,75.3,Secondary,50.9,Low (0-5h),Good (75-90%),Pass (50-70),10.18
Female,8.1,No,Urban,50.8,Secondary,61.8,Medium (5-10h),Poor (<60%),Pass (50-70),6.791208791208791
Male,7.8,Yes,Urban,69.9,Secondary,76.4,Medium (5-10h),Fair (60-75%),Good (70-85),8.681818181818182
Male,13.5,No,Urban,65.0,Primary,72.3,High (10-15h),Fair (60-75%),Good (70-85),4.986206896551724
Male,8.2,No,Urban,76.7,Tertiary,63.7,Medium (5-10h),Good (75-90%),Pass (50-70),6.923913043478262
Female,8.6,No,Rural,93.0,Secondary,69.6,Medium (5-10h),Excellent (90%+),Pass (50-70),7.25
Male,10.0,Yes,Rural,53.9,,69.6,Medium (5-10h),Poor (<60%),Pass (50-70),6.327272727272727
Female,10.6,No,Rural,89.9,Secondary,75.3,High (10-15h),Good (75-90%),Good (70-85),6.491379310344827
Male,14.0,Yes,Urban,71.9,,90.0,High (10-15h),Fair (60-75%),Excellent (85+),6.0
Female,16.0,No,Rural,96.3,Tertiary,98.3,Very High (15h+),Excellent (90%+),Excellent (85+),5.7823529411764705
Male,14.1,No,Urban,77.1,,77.7,High (10-15h),Good (75-90%),Good (70-85),5.145695364238411
Male,3.2,No,Urban,83.9,Secondary,45.8,Low (0-5h),Good (75-90%),Fail (<50),10.904761904761903
Male,5.1,Yes,Rural,84.7,Tertiary,56.6,Medium (5-10h),Good (75-90%),Pass (50-70),9.278688524590164
Male,9.8,No,Urban,78.9,Secondary,70.3,Medium (5-10h),Good (75-90%),Good (70-85),6.509259259259259
Male,12.5,No,Urban,87.5,Secondary,84.7,High (10-15h),Good (75-90%),Good (70-85),6.274074074074075
Female,1.6,No,Rural,87.7,Secondary,35.4,Low (0-5h),Good (75-90%),Fail (<50),13.615384615384615
Male,10.4,No,Urban,82.0,Secondary,73.5,High (10-15h),Good (75-90%),Good (70-85),6.447368421052631
Male,16.0,No,Rural,66.2,Secondary,95.3,Very High (15h+),Fair (60-75%),Excellent (85+),5.605882352941176
Female,10.5,No,Rural,51.6,Secondary,58.4,High (10-15h),Poor (<60%),Pass (50-70),5.078260869565217
Male,11.1,No,Rural,86.0,Secondary,60.9,High (10-15h),Good (75-90%),Pass (50-70),5.033057851239669
Male,12.1,No,Rural,78.7,Primary,77.7,High (10-15h),Good (75-90%),Good (70-85),5.931297709923665
Male,7.9,No,Urban,51.8,Tertiary,54.5,Medium (5-10h),Poor (<60%),Pass (50-70),6.123595505617978
Female,9.5,No,Rural,99.0,Secondary,66.4,Medium (5-10h),Excellent (90%+),Pass (50-70),6.323809523809524
Male,2.1,Yes,Urban,62.5,Secondary,51.7,Low (0-5h),Fair (60-75%),Pass (50-70),16.67741935483871
Male,7.4,Yes,Urban,97.4,Tertiary,69.8,Medium (5-10h),Excellent (90%+),Pass (50-70),8.309523809523808
Female,10.7,Yes,Urban,93.2,Tertiary,98.4,High (10-15h),Excellent (90%+),Excellent (85+),8.41025641025641
Male,4.6,No,Rural,69.4,Secondary,41.2,Low (0-5h),Fair (60-75%),Fail (<50),7.3571428571428585
Female,16.0,No,Urban,84.0,Secondary,90.8,Very High (15h+),Good (75-90%),Excellent (85+),5.341176470588235
Male,7.2,No,Urban,76.1,Secondary,55.1,Medium (5-10h),Good (75-90%),Pass (50-70),6.719512195121952
Male,8.2,No,Urban,69.9,,62.8,Medium (5-10h),Fair (60-75%),Pass (50-70),6.826086956521739
Female,8.9,No,Urban,56.9,Secondary,58.5,Medium (5-10h),Poor (<60%),Pass (50-70),5.909090909090909
Female,7.3,No,Urban,55.8,Primary,45.4,Medium (5-10h),Poor (<60%),Fail (<50),5.469879518072289
Male,7.6,No,Rural,86.8,Secondary,60.9,Medium (5-10h),Good (75-90%),Pass (50-70),7.0813953488372094
Male,9.8,No,Urban,54.5,Tertiary,58.9,Medium (5-10h),Poor (<60%),Pass (50-70),5.453703703703703
Male,5.6,No,Urban,79.7,Primary,48.4,Medium (5-10h),Good (75-90%),Fail (<50),7.333333333333334
Female,12.7,No,Urban,75.0,Secondary,74.8,High (10-15h),Fair (60-75%),Good (70-85),5.45985401459854
Female,8.5,Yes,Urban,61.2,Tertiary,74.3,Medium (5-10h),Fair (60-75%),Good (70-85),7.821052631578947
Male,9.5,No,Urban,83.8,Secondary,76.5,Medium (5-10h),Good (75-90%),Good (70-85),7.285714285714286
Male,8.1,No,Rural,89.0,Tertiary,69.6,Medium (5-10h),Good (75-90%),Pass (50-70),7.648351648351648
Male,15.8,No,Rural,78.1,Primary,85.0,Very High (15h+),Good (75-90%),Good (70-85),5.059523809523809
Male,10.1,Yes,Urban,65.7,Secondary,85.3,High (10-15h),Fair (60-75%),Excellent (85+),7.684684684684685
Male,11.7,No,Urban,67.8,Primary,67.8,High (10-15h),Fair (60-75%),Pass (50-70),5.338582677165355
Female,13.6,Yes,Urban,84.3,Primary,95.1,High (10-15h),Good (75-90%),Excellent (85+),6.513698630136986
Male,4.9,Yes,Rural,66.4,Primary,57.3,Low (0-5h),Fair (60-75%),Pass (50-70),9.71186440677966
Female,6.8,No,Rural,83.4,Secondary,51.0,Medium (5-10h),Good (75-90%),Pass (50-70),6.538461538461538
Male,10.9,No,Urban,66.8,Secondary,61.5,High (10-15h),Fair (60-75%),Pass (50-70),5.168067226890756
Male,14.4,No,Urban,89.3,Primary,80.9,High (10-15h),Good (75-90%),Good (70-85),5.253246753246754
Male,14.3,Yes,Urban,51.5,Secondary,94.0,High (10-15h),Poor (<60%),Excellent (85+),6.143790849673202
Female,5.6,No,Urban,61.2,Tertiary,55.6,Medium (5-10h),Fair (60-75%),Pass (50-70),8.424242424242426
Female,9.2,No,Rural,55.7,Primary,55.2,Medium (5-10h),Poor (<60%),Pass (50-70),5.411764705882353
Female,14.1,Yes,Rural,92.0,Primary,100.0,High (10-15h),Excellent (90%+),Excellent (85+),6.622516556291391
Male,10.1,Yes,Urban,68.3,,74.4,High (10-15h),Fair (60-75%),Good (70-85),6.7027027027027035
Male,10.8,No,Urban,79.0,Tertiary,68.6,High (10-15h),Good (75-90%),Pass (50-70),5.813559322033898
Female,9.9,No,Urban,83.6,Secondary,71.1,Medium (5-10h),Good (75-90%),Good (70-85),6.522935779816513
Female,13.9,No,Rural,50.0,Secondary,75.4,High (10-15h),Poor (<60%),Good (70-85),5.060402684563758
Female,6.1,No,Urban,76.7,,50.0,Medium (5-10h),Good (75-90%),Fail (<50),7.042253521126761
Female,8.2,No,Urban,83.9,Tertiary,65.4,Medium (5-10h),Good (75-90%),Pass (50-70),7.108695652173914
Male,12.9,No,Urban,85.8,Tertiary,82.2,High (10-15h),Good (75-90%),Good (70-85),5.913669064748201
Male,1.2,No,Rural,89.7,Tertiary,39.2,Low (0-5h),Good (75-90%),Fail (<50),17.818181818181817
Male,9.8,No,Rural,59.8,Tertiary,68.3,Medium (5-10h),Poor (<60%),Pass (50-70),6.3240740740740735
Female,10.2,Yes,Rural,67.8,Tertiary,92.3,High (10-15h),Fair (60-75%),Excellent (85+),8.241071428571429
Female,15.0,Yes,Urban,63.3,Primary,99.6,High (10-15h),Fair (60-75%),Excellent (85+),6.225
Male,12.3,Yes,Rural,88.9,Tertiary,100.0,High (10-15h),Good (75-90%),Excellent (85+),7.518796992481203
